Pressure1,Pressure2,Pressure3,Pressure4,AirPressure1,AirPressure2,AirPressure3,AirPressure4,AirPressure5,AirPressure6
11.0,11.0,39.0,24.0,0.89,0.8,0.85,0.89,1.03,0.86
11.0,2.0,46.0,63.0,0.89,0.8,0.85,0.91,0.99,0.85
2.0,2.0,48.0,44.0,0.89,0.8,0.85,0.91,0.97,0.85
28.0,77.0,6.0,154.0,0.89,0.8,0.85,0.87,0.85,1.02
28.0,88.0,506.0,477.0,0.89,0.8,0.85,0.87,0.85,1.02
24.0,88.0,11.0,149.0,0.89,0.8,0.86,0.87,0.85,1.01
35.0,61.0,13.0,116.0,0.89,0.8,0.85,0.87,0.88,0.99
35.0,61.0,13.0,118.0,0.89,0.8,0.85,0.88,0.88,0.99
55.0,2.0,127.0,39.0,0.89,0.8,0.85,1.08,0.85,0.85
30.0,6.0,121.0,48.0,0.89,0.8,0.85,1.06,0.85,0.86
8.0,2.0,121.0,24.0,0.89,0.8,0.85,1.02,0.85,0.85
11.0,2.0,121.0,24.0,0.89,0.8,0.85,1.02,0.85,0.85
33.0,2.0,52.0,81.0,0.89,0.8,0.85,1.02,0.87,0.87
33.0,2.0,55.0,77.0,0.89,0.8,0.85,1.03,0.87,0.87
0.0,11.0,6.0,107.0,0.89,0.8,0.85,0.87,0.98,0.85
6.0,88.0,8.0,154.0,0.89,0.8,0.85,0.87,1.16,0.85
15.0,96.0,4.0,81.0,0.89,0.8,0.86,0.87,1.01,0.86
13.0,94.0,8.0,83.0,0.89,0.8,0.86,0.87,1.02,0.86
6.0,72.0,4.0,94.0,0.89,0.8,0.85,0.87,1.08,0.89
6.0,70.0,4.0,94.0,0.89,0.8,0.85,0.87,1.08,0.89
33.0,46.0,15.0,105.0,0.89,0.81,0.86,0.87,0.87,1.02
33.0,46.0,15.0,103.0,0.89,0.8,0.85,0.87,0.86,1.02
30.0,4.0,26.0,101.0,0.89,0.8,0.86,0.88,0.86,0.96
30.0,8.0,28.0,103.0,0.89,0.8,0.85,0.89,0.88,0.96
19.0,35.0,6.0,140.0,0.89,0.8,0.85,0.87,0.84,1.04
19.0,35.0,6.0,140.0,0.89,0.81,0.84,0.87,0.84,1.04
61.0,101.0,110.0,22.0,0.89,0.8,0.86,1.04,0.85,0.85
57.0,103.0,110.0,22.0,0.89,0.81,0.85,1.04,0.85,0.85
44.0,105.0,94.0,15.0,0.89,0.8,0.86,1.0,0.85,0.85
44.0,103.0,94.0,15.0,0.89,0.8,0.86,1.0,0.85,0.85
79.0,114.0,107.0,11.0,0.89,0.8,0.85,1.03,0.85,0.85
81.0,114.0,107.0,11.0,0.89,0.8,0.85,1.04,0.85,0.85
4.0,92.0,11.0,125.0,0.89,0.8,0.86,0.88,1.03,0.86
4.0,101.0,17.0,107.0,0.89,0.8,0.85,0.89,1.04,0.85
4.0,94.0,28.0,72.0,0.89,0.81,0.86,0.89,1.04,0.85
2.0,92.0,24.0,77.0,0.89,0.81,0.86,0.88,1.04,0.85
30.0,92.0,11.0,85.0,0.89,0.8,0.86,0.89,1.01,0.87
24.0,92.0,8.0,83.0,0.89,0.8,0.86,0.89,1.02,0.88
26.0,35.0,19.0,145.0,0.89,0.81,0.87,0.87,0.86,0.98
33.0,0.0,19.0,99.0,0.89,0.81,0.87,0.87,0.9,0.96
