Pressure1,Pressure2,Pressure3,Pressure4,AirPressure1,AirPressure2,AirPressure3,AirPressure4,AirPressure5,AirPressure6
59.0,61.0,63.0,63.0,0.85,0.8,0.9,0.86,1.09,0.88
189.0,46.0,39.0,1007.0,0.85,0.8,0.89,0.86,1.08,0.88
63.0,22.0,74.0,114.0,0.86,0.81,0.89,0.86,1.03,0.88
66.0,26.0,70.0,112.0,0.86,0.8,0.89,0.85,1.05,0.88
63.0,17.0,77.0,110.0,0.86,0.8,0.89,0.86,1.04,0.88
70.0,85.0,99.0,30.0,0.86,0.8,0.89,0.86,1.07,0.88
68.0,81.0,96.0,22.0,0.86,0.8,0.89,0.86,1.07,0.88
63.0,77.0,88.0,24.0,0.86,0.8,0.89,0.85,1.07,0.88
138.0,11.0,242.0,59.0,0.85,0.81,0.89,1.02,0.85,0.88
129.0,17.0,228.0,72.0,0.85,0.8,0.89,1.02,0.85,0.88
116.0,6.0,261.0,52.0,0.85,0.81,0.89,1.01,0.85,0.88
138.0,13.0,206.0,79.0,0.85,0.81,0.89,1.04,0.85,0.88
127.0,13.0,220.0,70.0,0.85,0.8,0.89,1.03,0.85,0.88
123.0,13.0,226.0,63.0,0.85,0.81,0.89,1.03,0.85,0.88
92.0,15.0,244.0,68.0,0.86,0.81,0.89,0.96,0.85,0.88
94.0,15.0,237.0,77.0,0.86,0.8,0.89,0.95,0.86,0.89
94.0,17.0,237.0,74.0,0.86,0.8,0.89,0.95,0.86,0.88
13.0,90.0,94.0,222.0,0.85,0.8,0.89,0.87,0.86,1.0
15.0,107.0,92.0,222.0,0.85,0.81,0.89,0.87,0.86,1.02
19.0,39.0,96.0,187.0,0.86,0.81,0.9,0.89,0.89,0.93
19.0,46.0,96.0,206.0,0.86,0.81,0.9,0.89,0.9,0.92
0.0,140.0,92.0,191.0,0.86,0.81,0.9,0.89,0.86,0.88
8.0,72.0,105.0,162.0,0.86,0.81,0.9,0.88,0.86,0.89
26.0,6.0,70.0,2.0,0.85,0.8,0.89,0.91,0.97,0.86
28.0,8.0,70.0,2.0,0.85,0.81,0.89,0.9,0.98,0.87
28.0,11.0,57.0,2.0,0.85,0.8,0.89,0.9,0.99,0.87
28.0,0.0,33.0,41.0,0.86,0.81,0.9,0.91,0.86,0.89
28.0,0.0,33.0,41.0,0.86,0.81,0.89,0.9,0.86,0.89
30.0,22.0,77.0,59.0,0.86,0.81,0.9,0.91,0.86,0.89
33.0,22.0,92.0,61.0,0.87,0.81,0.9,0.91,0.86,0.89
26.0,0.0,11.0,59.0,0.86,0.8,0.89,0.85,0.83,0.86
30.0,4.0,81.0,77.0,0.86,0.8,0.89,0.87,0.83,0.86
15.0,0.0,158.0,70.0,0.89,0.81,0.9,0.89,0.85,0.88
35.0,15.0,81.0,74.0,0.87,0.81,0.89,0.96,0.83,0.87
15.0,52.0,2.0,180.0,0.86,0.8,0.89,0.86,0.85,1.05
15.0,57.0,2.0,178.0,0.86,0.81,0.89,0.85,0.85,1.04
17.0,35.0,50.0,233.0,0.86,0.81,0.89,0.85,0.84,1.04
17.0,35.0,50.0,231.0,0.86,0.81,0.89,0.86,0.84,1.04
4.0,15.0,48.0,235.0,0.86,0.8,0.89,0.86,0.84,1.0
4.0,17.0,50.0,233.0,0.86,0.8,0.89,0.85,0.84,1.01
19.0,19.0,132.0,15.0,0.85,0.81,0.89,0.86,1.08,0.88
35.0,11.0,132.0,8.0,0.86,0.81,0.89,0.86,1.05,0.87
8.0,11.0,138.0,15.0,0.85,0.8,0.89,0.85,1.14,0.88
6.0,17.0,66.0,28.0,0.85,0.8,0.89,0.86,1.06,0.88
11.0,8.0,85.0,33.0,0.85,0.8,0.89,0.85,1.08,0.87
13.0,8.0,85.0,30.0,0.85,0.8,0.89,0.85,1.08,0.87
11.0,6.0,88.0,33.0,0.85,0.8,0.89,0.85,1.08,0.87
77.0,24.0,70.0,6.0,0.84,0.8,0.89,1.06,0.85,0.87
52.0,24.0,127.0,8.0,0.85,0.81,0.89,1.02,0.85,0.88
70.0,35.0,99.0,8.0,0.85,0.8,0.89,1.05,0.85,0.88
72.0,35.0,94.0,8.0,0.85,0.8,0.89,1.06,0.85,0.87
72.0,39.0,61.0,8.0,0.85,0.81,0.89,1.06,0.86,0.87
2.0,2.0,19.0,17.0,0.85,0.8,0.89,0.86,0.85,0.88
2.0,0.0,17.0,13.0,0.85,0.81,0.89,0.86,0.85,0.88
22.0,68.0,59.0,74.0,0.86,0.8,0.89,0.86,0.94,0.95
22.0,55.0,48.0,83.0,0.86,0.81,0.89,0.86,0.93,0.94
81.0,30.0,81.0,215.0,0.86,0.81,0.89,0.86,0.86,0.97
17.0,30.0,83.0,211.0,0.86,0.8,0.89,0.86,0.86,0.98
13.0,4.0,46.0,250.0,0.85,0.8,0.89,0.86,0.85,0.92
13.0,6.0,44.0,239.0,0.85,0.8,0.89,0.86,0.85,0.93
30.0,0.0,13.0,92.0,0.85,0.8,0.89,0.87,1.02,0.87
30.0,13.0,0.0,92.0,0.85,0.8,0.89,0.87,1.02,0.87
46.0,15.0,52.0,88.0,0.86,0.8,0.89,0.88,1.0,0.87
35.0,26.0,66.0,85.0,0.86,0.8,0.89,0.88,0.98,0.87
0.0,13.0,61.0,198.0,0.85,0.8,0.89,0.86,0.92,0.89
6.0,61.0,83.0,118.0,0.85,0.81,0.89,0.85,1.03,0.9
77.0,22.0,171.0,44.0,0.85,0.8,0.89,0.99,0.85,0.87
63.0,22.0,182.0,44.0,0.86,0.8,0.89,1.0,0.85,0.87
63.0,28.0,191.0,61.0,0.86,0.8,0.89,1.0,0.85,0.87
44.0,28.0,178.0,57.0,0.84,0.8,0.89,1.0,0.85,0.87
37.0,33.0,156.0,66.0,0.85,0.8,0.89,1.0,0.86,0.87
13.0,30.0,37.0,250.0,0.85,0.8,0.89,0.86,0.85,1.03
11.0,37.0,35.0,253.0,0.85,0.8,0.89,0.86,0.85,1.02
11.0,37.0,35.0,253.0,0.85,0.8,0.89,0.86,0.85,1.02
0.0,8.0,37.0,121.0,0.85,0.8,0.89,0.86,0.85,1.0
0.0,4.0,37.0,121.0,0.85,0.8,0.89,0.86,0.85,1.01
2.0,28.0,30.0,123.0,0.85,0.8,0.89,0.86,0.85,1.05
2.0,15.0,28.0,118.0,0.85,0.8,0.89,0.86,0.85,1.02
13.0,2.0,41.0,35.0,0.84,0.79,0.88,0.85,1.05,0.86
13.0,2.0,41.0,35.0,0.84,0.79,0.88,0.85,1.05,0.86
11.0,11.0,24.0,39.0,0.85,0.8,0.89,0.86,1.04,0.88
11.0,11.0,24.0,39.0,0.85,0.8,0.89,0.86,1.03,0.89
2.0,11.0,63.0,46.0,0.85,0.8,0.89,0.85,0.99,0.91
2.0,2.0,44.0,48.0,0.85,0.8,0.89,0.85,0.97,0.91
77.0,28.0,154.0,6.0,0.85,0.8,0.89,1.02,0.85,0.87
88.0,28.0,477.0,506.0,0.85,0.8,0.89,1.02,0.85,0.87
88.0,24.0,149.0,11.0,0.86,0.8,0.89,1.01,0.85,0.87
61.0,35.0,116.0,13.0,0.85,0.8,0.89,0.99,0.88,0.87
61.0,35.0,118.0,13.0,0.85,0.8,0.89,0.99,0.88,0.88
2.0,55.0,39.0,127.0,0.85,0.8,0.89,0.85,0.85,1.08
6.0,30.0,48.0,121.0,0.85,0.8,0.89,0.86,0.85,1.06
2.0,8.0,24.0,121.0,0.85,0.8,0.89,0.85,0.85,1.02
2.0,11.0,24.0,121.0,0.85,0.8,0.89,0.85,0.85,1.02
2.0,33.0,81.0,52.0,0.85,0.8,0.89,0.87,0.87,1.02
2.0,33.0,77.0,55.0,0.85,0.8,0.89,0.87,0.87,1.03
11.0,0.0,107.0,6.0,0.85,0.8,0.89,0.85,0.98,0.87
88.0,6.0,154.0,8.0,0.85,0.8,0.89,0.85,1.16,0.87
96.0,15.0,81.0,4.0,0.86,0.8,0.89,0.86,1.01,0.87
94.0,13.0,83.0,8.0,0.86,0.8,0.89,0.86,1.02,0.87
72.0,6.0,94.0,4.0,0.85,0.8,0.89,0.89,1.08,0.87
70.0,6.0,94.0,4.0,0.85,0.8,0.89,0.89,1.08,0.87
46.0,33.0,105.0,15.0,0.86,0.81,0.89,1.02,0.87,0.87
46.0,33.0,103.0,15.0,0.85,0.8,0.89,1.02,0.86,0.87
4.0,30.0,101.0,26.0,0.86,0.8,0.89,0.96,0.86,0.88
8.0,30.0,103.0,28.0,0.85,0.8,0.89,0.96,0.88,0.89
35.0,19.0,140.0,6.0,0.85,0.8,0.89,1.04,0.84,0.87
35.0,19.0,140.0,6.0,0.84,0.81,0.89,1.04,0.84,0.87
101.0,61.0,22.0,110.0,0.86,0.8,0.89,0.85,0.85,1.04
103.0,57.0,22.0,110.0,0.85,0.81,0.89,0.85,0.85,1.04
105.0,44.0,15.0,94.0,0.86,0.8,0.89,0.85,0.85,1.0
103.0,44.0,15.0,94.0,0.86,0.8,0.89,0.85,0.85,1.0
114.0,79.0,11.0,107.0,0.85,0.8,0.89,0.85,0.85,1.03
114.0,81.0,11.0,107.0,0.85,0.8,0.89,0.85,0.85,1.04
92.0,4.0,125.0,11.0,0.86,0.8,0.89,0.86,1.03,0.88
101.0,4.0,107.0,17.0,0.85,0.8,0.89,0.85,1.04,0.89
94.0,4.0,72.0,28.0,0.86,0.81,0.89,0.85,1.04,0.89
92.0,2.0,77.0,24.0,0.86,0.81,0.89,0.85,1.04,0.88
92.0,30.0,85.0,11.0,0.86,0.8,0.89,0.87,1.01,0.89
92.0,24.0,83.0,8.0,0.86,0.8,0.89,0.88,1.02,0.89
35.0,26.0,145.0,19.0,0.87,0.81,0.89,0.98,0.86,0.87
0.0,33.0,99.0,19.0,0.87,0.81,0.89,0.96,0.9,0.87
147.0,15.0,209.0,413.0,0.89,0.8,0.85,1.0,0.84,0.84
171.0,6.0,121.0,446.0,0.9,0.81,0.86,1.08,0.85,0.86
169.0,2.0,125.0,448.0,0.9,0.81,0.87,1.08,0.85,0.86
149.0,4.0,211.0,195.0,0.9,0.81,0.86,1.07,0.85,0.86
151.0,4.0,147.0,187.0,0.9,0.81,0.86,1.08,0.85,0.86
68.0,26.0,110.0,134.0,0.9,0.81,0.86,0.88,1.13,0.86
63.0,28.0,112.0,138.0,0.9,0.8,0.86,0.88,1.09,0.86
136.0,8.0,121.0,314.0,0.89,0.8,0.85,0.94,1.05,0.86
129.0,6.0,123.0,321.0,0.89,0.8,0.85,0.93,1.04,0.86
147.0,13.0,118.0,308.0,0.89,0.81,0.85,0.95,1.04,0.86
74.0,44.0,85.0,354.0,0.89,0.81,0.86,0.88,0.89,0.86
26.0,19.0,13.0,435.0,0.89,0.8,0.86,0.88,0.9,0.86
74.0,37.0,90.0,332.0,0.89,0.81,0.85,0.88,1.1,0.86
39.0,77.0,48.0,602.0,0.9,0.81,0.88,0.89,0.94,0.97
35.0,85.0,48.0,596.0,0.9,0.81,0.88,0.89,0.94,0.95
63.0,57.0,74.0,367.0,0.9,0.82,0.86,0.89,1.06,0.96
68.0,70.0,79.0,376.0,0.9,0.81,0.86,0.89,1.04,0.99
52.0,83.0,61.0,422.0,0.9,0.81,0.88,0.89,0.96,0.96
81.0,96.0,72.0,398.0,0.9,0.81,0.89,0.89,0.97,0.95
158.0,4.0,224.0,81.0,0.9,0.8,0.85,1.04,0.85,0.86
105.0,6.0,215.0,103.0,0.9,0.8,0.86,1.0,0.85,0.85
103.0,8.0,235.0,90.0,0.89,0.8,0.86,0.98,0.85,0.85
101.0,6.0,228.0,90.0,0.9,0.8,0.86,0.97,0.85,0.86
94.0,4.0,222.0,90.0,0.9,0.81,0.86,0.98,0.85,0.85
83.0,41.0,261.0,99.0,0.9,0.8,0.86,1.01,0.85,0.86
77.0,39.0,261.0,96.0,0.89,0.8,0.86,1.01,0.85,0.86
74.0,39.0,259.0,96.0,0.89,0.81,0.86,1.01,0.85,0.85
55.0,63.0,66.0,59.0,0.89,0.8,0.85,0.88,1.11,0.85
61.0,59.0,63.0,63.0,0.9,0.8,0.85,0.88,1.09,0.86
46.0,189.0,1007.0,39.0,0.89,0.8,0.85,0.88,1.08,0.86
22.0,63.0,114.0,74.0,0.89,0.81,0.86,0.88,1.03,0.86
26.0,66.0,112.0,70.0,0.89,0.8,0.86,0.88,1.05,0.85
17.0,63.0,110.0,77.0,0.89,0.8,0.86,0.88,1.04,0.86
85.0,70.0,30.0,99.0,0.89,0.8,0.86,0.88,1.07,0.86
81.0,68.0,22.0,96.0,0.89,0.8,0.86,0.88,1.07,0.86
77.0,63.0,24.0,88.0,0.89,0.8,0.86,0.88,1.07,0.85
11.0,138.0,59.0,242.0,0.89,0.81,0.85,0.88,0.85,1.02
17.0,129.0,72.0,228.0,0.89,0.8,0.85,0.88,0.85,1.02
6.0,116.0,52.0,261.0,0.89,0.81,0.85,0.88,0.85,1.01
13.0,138.0,79.0,206.0,0.89,0.81,0.85,0.88,0.85,1.04
13.0,127.0,70.0,220.0,0.89,0.8,0.85,0.88,0.85,1.03
13.0,123.0,63.0,226.0,0.89,0.81,0.85,0.88,0.85,1.03
15.0,92.0,68.0,244.0,0.89,0.81,0.86,0.88,0.85,0.96
15.0,94.0,77.0,237.0,0.89,0.8,0.86,0.89,0.86,0.95
17.0,94.0,74.0,237.0,0.89,0.8,0.86,0.88,0.86,0.95
90.0,13.0,222.0,94.0,0.89,0.8,0.85,1.0,0.86,0.87
107.0,15.0,222.0,92.0,0.89,0.81,0.85,1.02,0.86,0.87
39.0,19.0,187.0,96.0,0.9,0.81,0.86,0.93,0.89,0.89
46.0,19.0,206.0,96.0,0.9,0.81,0.86,0.92,0.9,0.89
140.0,0.0,191.0,92.0,0.9,0.81,0.86,0.88,0.86,0.89
72.0,8.0,162.0,105.0,0.9,0.81,0.86,0.89,0.86,0.88
6.0,26.0,2.0,70.0,0.89,0.8,0.85,0.86,0.97,0.91
8.0,28.0,2.0,70.0,0.89,0.81,0.85,0.87,0.98,0.9
11.0,28.0,2.0,57.0,0.89,0.8,0.85,0.87,0.99,0.9
0.0,28.0,41.0,33.0,0.9,0.81,0.86,0.89,0.86,0.91
0.0,28.0,41.0,33.0,0.89,0.81,0.86,0.89,0.86,0.9
22.0,30.0,59.0,77.0,0.9,0.81,0.86,0.89,0.86,0.91
22.0,33.0,61.0,92.0,0.9,0.81,0.87,0.89,0.86,0.91
0.0,26.0,59.0,11.0,0.89,0.8,0.86,0.86,0.83,0.85
4.0,30.0,77.0,81.0,0.89,0.8,0.86,0.86,0.83,0.87
0.0,15.0,70.0,158.0,0.9,0.81,0.89,0.88,0.85,0.89
15.0,35.0,74.0,81.0,0.89,0.81,0.87,0.87,0.83,0.96
52.0,15.0,180.0,2.0,0.89,0.8,0.86,1.05,0.85,0.86
57.0,15.0,178.0,2.0,0.89,0.81,0.86,1.04,0.85,0.85
35.0,17.0,233.0,50.0,0.89,0.81,0.86,1.04,0.84,0.85
35.0,17.0,231.0,50.0,0.89,0.81,0.86,1.04,0.84,0.86
15.0,4.0,235.0,48.0,0.89,0.8,0.86,1.0,0.84,0.86
17.0,4.0,233.0,50.0,0.89,0.8,0.86,1.01,0.84,0.85
19.0,19.0,15.0,132.0,0.89,0.81,0.85,0.88,1.08,0.86
11.0,35.0,8.0,132.0,0.89,0.81,0.86,0.87,1.05,0.86
11.0,8.0,15.0,138.0,0.89,0.8,0.85,0.88,1.14,0.85
17.0,6.0,28.0,66.0,0.89,0.8,0.85,0.88,1.06,0.86
8.0,11.0,33.0,85.0,0.89,0.8,0.85,0.87,1.08,0.85
8.0,13.0,30.0,85.0,0.89,0.8,0.85,0.87,1.08,0.85
6.0,11.0,33.0,88.0,0.89,0.8,0.85,0.87,1.08,0.85
24.0,77.0,6.0,70.0,0.89,0.8,0.84,0.87,0.85,1.06
24.0,52.0,8.0,127.0,0.89,0.81,0.85,0.88,0.85,1.02
35.0,70.0,8.0,99.0,0.89,0.8,0.85,0.88,0.85,1.05
35.0,72.0,8.0,94.0,0.89,0.8,0.85,0.87,0.85,1.06
39.0,72.0,8.0,61.0,0.89,0.81,0.85,0.87,0.86,1.06
2.0,2.0,17.0,19.0,0.89,0.8,0.85,0.88,0.85,0.86
0.0,2.0,13.0,17.0,0.89,0.81,0.85,0.88,0.85,0.86
68.0,22.0,74.0,59.0,0.89,0.8,0.86,0.95,0.94,0.86
55.0,22.0,83.0,48.0,0.89,0.81,0.86,0.94,0.93,0.86
30.0,81.0,215.0,81.0,0.89,0.81,0.86,0.97,0.86,0.86
30.0,17.0,211.0,83.0,0.89,0.8,0.86,0.98,0.86,0.86
4.0,13.0,250.0,46.0,0.89,0.8,0.85,0.92,0.85,0.86
6.0,13.0,239.0,44.0,0.89,0.8,0.85,0.93,0.85,0.86
0.0,30.0,92.0,13.0,0.89,0.8,0.85,0.87,1.02,0.87
13.0,30.0,92.0,0.0,0.89,0.8,0.85,0.87,1.02,0.87
15.0,46.0,88.0,52.0,0.89,0.8,0.86,0.87,1.0,0.88
26.0,35.0,85.0,66.0,0.89,0.8,0.86,0.87,0.98,0.88
13.0,0.0,198.0,61.0,0.89,0.8,0.85,0.89,0.92,0.86
61.0,6.0,118.0,83.0,0.89,0.81,0.85,0.9,1.03,0.85
22.0,77.0,44.0,171.0,0.89,0.8,0.85,0.87,0.85,0.99
22.0,63.0,44.0,182.0,0.89,0.8,0.86,0.87,0.85,1.0
28.0,63.0,61.0,191.0,0.89,0.8,0.86,0.87,0.85,1.0
28.0,44.0,57.0,178.0,0.89,0.8,0.84,0.87,0.85,1.0
33.0,37.0,66.0,156.0,0.89,0.8,0.85,0.87,0.86,1.0
30.0,13.0,250.0,37.0,0.89,0.8,0.85,1.03,0.85,0.86
37.0,11.0,253.0,35.0,0.89,0.8,0.85,1.02,0.85,0.86
37.0,11.0,253.0,35.0,0.89,0.8,0.85,1.02,0.85,0.86
8.0,0.0,121.0,37.0,0.89,0.8,0.85,1.0,0.85,0.86
4.0,0.0,121.0,37.0,0.89,0.8,0.85,1.01,0.85,0.86
28.0,2.0,123.0,30.0,0.89,0.8,0.85,1.05,0.85,0.86
15.0,2.0,118.0,28.0,0.89,0.8,0.85,1.02,0.85,0.86
2.0,13.0,35.0,41.0,0.88,0.79,0.84,0.86,1.05,0.85
2.0,13.0,35.0,41.0,0.88,0.79,0.84,0.86,1.05,0.85
11.0,11.0,39.0,24.0,0.89,0.8,0.85,0.88,1.04,0.86
11.0,11.0,39.0,24.0,0.89,0.8,0.85,0.89,1.03,0.86
11.0,2.0,46.0,63.0,0.89,0.8,0.85,0.91,0.99,0.85
2.0,2.0,48.0,44.0,0.89,0.8,0.85,0.91,0.97,0.85
28.0,77.0,6.0,154.0,0.89,0.8,0.85,0.87,0.85,1.02
28.0,88.0,506.0,477.0,0.89,0.8,0.85,0.87,0.85,1.02
24.0,88.0,11.0,149.0,0.89,0.8,0.86,0.87,0.85,1.01
35.0,61.0,13.0,116.0,0.89,0.8,0.85,0.87,0.88,0.99
35.0,61.0,13.0,118.0,0.89,0.8,0.85,0.88,0.88,0.99
55.0,2.0,127.0,39.0,0.89,0.8,0.85,1.08,0.85,0.85
30.0,6.0,121.0,48.0,0.89,0.8,0.85,1.06,0.85,0.86
8.0,2.0,121.0,24.0,0.89,0.8,0.85,1.02,0.85,0.85
11.0,2.0,121.0,24.0,0.89,0.8,0.85,1.02,0.85,0.85
33.0,2.0,52.0,81.0,0.89,0.8,0.85,1.02,0.87,0.87
33.0,2.0,55.0,77.0,0.89,0.8,0.85,1.03,0.87,0.87
0.0,11.0,6.0,107.0,0.89,0.8,0.85,0.87,0.98,0.85
6.0,88.0,8.0,154.0,0.89,0.8,0.85,0.87,1.16,0.85
15.0,96.0,4.0,81.0,0.89,0.8,0.86,0.87,1.01,0.86
13.0,94.0,8.0,83.0,0.89,0.8,0.86,0.87,1.02,0.86
6.0,72.0,4.0,94.0,0.89,0.8,0.85,0.87,1.08,0.89
6.0,70.0,4.0,94.0,0.89,0.8,0.85,0.87,1.08,0.89
33.0,46.0,15.0,105.0,0.89,0.81,0.86,0.87,0.87,1.02
33.0,46.0,15.0,103.0,0.89,0.8,0.85,0.87,0.86,1.02
30.0,4.0,26.0,101.0,0.89,0.8,0.86,0.88,0.86,0.96
30.0,8.0,28.0,103.0,0.89,0.8,0.85,0.89,0.88,0.96
19.0,35.0,6.0,140.0,0.89,0.8,0.85,0.87,0.84,1.04
19.0,35.0,6.0,140.0,0.89,0.81,0.84,0.87,0.84,1.04
61.0,101.0,110.0,22.0,0.89,0.8,0.86,1.04,0.85,0.85
57.0,103.0,110.0,22.0,0.89,0.81,0.85,1.04,0.85,0.85
44.0,105.0,94.0,15.0,0.89,0.8,0.86,1.0,0.85,0.85
44.0,103.0,94.0,15.0,0.89,0.8,0.86,1.0,0.85,0.85
79.0,114.0,107.0,11.0,0.89,0.8,0.85,1.03,0.85,0.85
81.0,114.0,107.0,11.0,0.89,0.8,0.85,1.04,0.85,0.85
4.0,92.0,11.0,125.0,0.89,0.8,0.86,0.88,1.03,0.86
4.0,101.0,17.0,107.0,0.89,0.8,0.85,0.89,1.04,0.85
4.0,94.0,28.0,72.0,0.89,0.81,0.86,0.89,1.04,0.85
2.0,92.0,24.0,77.0,0.89,0.81,0.86,0.88,1.04,0.85
30.0,92.0,11.0,85.0,0.89,0.8,0.86,0.89,1.01,0.87
24.0,92.0,8.0,83.0,0.89,0.8,0.86,0.89,1.02,0.88
26.0,35.0,19.0,145.0,0.89,0.81,0.87,0.87,0.86,0.98
33.0,0.0,19.0,99.0,0.89,0.81,0.87,0.87,0.9,0.96
